tract,cbsa,cbsaname,cbsapop,cbsasamp1,cbsasamp2,cbsasamp3,nwhite,nblack,nhisp,nasian,povyes,povno,edlow,edhs,edsome,edba,owner,renter,twoparent,singparent,nokids,age0017,age1859,age60up,race_pop,pr_white,pr_black,pr_hisp,pr_asian,pov_pop,pr_pov,singpar_pop,pr_singpar,age_pop,pr_adult_nohs,hsplus
6001403800,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,2176,393,290,473,229,3537,41,175,510,2234,693,1165,252,62,1627,423,2449,589,3332,0.653061224,0.117947179,0.087034814,0.141956783,3766,0.060807223,1941,0.031942298,3038,0.013495721,2919
6081600402,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,354,138,1957,2548,320,5220,619,1013,1062,878,818,419,355,111,789,1011,3130,927,4997,0.070842506,0.02761657,0.391634981,0.509905944,5540,0.057761733,1255,0.088446215,4057,0.152575795,2953
6001451703,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,2678,85,544,431,128,3927,112,354,1063,1088,1105,189,513,49,718,1028,2198,633,3738,0.716425896,0.022739433,0.14553237,0.115302301,4055,0.031565968,1280,0.03828125,2831,0.039561992,2505
6001422600,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,538,22,141,457,30,36,11,0,10,17,8,4,8,0,19,22,1186,7,1158,0.464594128,0.018998273,0.121761658,0.394645941,66,0.454545455,27,0,1193,0.009220453,27
6081607300,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,2393,39,327,628,43,3286,95,232,658,1343,1130,197,414,31,801,802,1780,947,3387,0.706524948,0.011514615,0.096545616,0.185414821,3329,0.012916792,1246,0.024879615,2727,0.034836817,2233
6041130202,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3911,60,171,204,321,3845,68,267,758,2748,1420,1174,174,77,2385,388,2637,1428,4346,0.899907961,0.013805798,0.039346526,0.046939715,4166,0.077052328,2636,0.029210926,4065,0.016728167,3773
6001400800,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1135,1564,367,445,536,2128,339,484,322,906,529,1038,71,176,1153,572,2392,630,3511,0.323269724,0.445457135,0.104528624,0.126744517,2664,0.201201201,1400,0.125714286,3022,0.112177366,1712
6013337100,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1981,86,560,463,68,2931,86,353,572,1068,853,305,320,24,771,644,1833,723,3090,0.641100324,0.027831715,0.181229773,0.149838188,2999,0.022674225,1115,0.021524664,2556,0.033646322,1993
6013320003,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1844,83,327,378,184,2406,119,225,607,739,874,145,364,70,596,710,1729,366,2632,0.700607903,0.031534954,0.124240122,0.143617021,2590,0.071042471,1030,0.067961165,2095,0.056801909,1571
6041133000,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,2533,18,571,44,109,2896,153,410,615,1025,806,614,227,52,930,593,1713,920,3166,0.800063171,0.005685407,0.180353759,0.013897663,3005,0.036272879,1209,0.043010753,2633,0.058108621,2050
