"","lon","lat"
"179",-83.2207102,42.6354555
"180",-95.712891,37.09024
"181",-83.1338214,42.680588
"182",-83.1763145,42.3222599
"183",-83.3273424,42.2418388
"184",-85.5248434,42.8846633
"185",-83.7388467,42.9734164
"186",-83.386759,42.380349
"187",-86.211916,43.106759
"188",-86.1250896,42.7558244
"189",-83.3483255,42.2253346
"190",-83.0865494,42.5161513
"191",-85.4011619,44.2519526
"192",-83.4482547,42.3385952
"193",-85.6687204,42.9818333
"194",-83.3423262,42.2357527
"195",-85.0005215,41.9403263
"196",-83.1497751,42.6064095
"197",-83.3613127,42.5276993
"198",-86.1141784,42.7459687
"199",-86.549743,41.8764326
"200",-83.1853731,42.5597958
"201",-83.2454883,42.583645
"202",-82.4762839,42.921145
"203",-83.2641239,42.7069193
"204",-83.5363268,42.5247555
"205",-83.359304,42.378347
"206",-84.7349897,43.608048
"207",-84.7349897,43.608048
"208",-84.7349897,43.608048
"209",-96.007832,36.20366
"210",-84.7349897,43.608048
"211",-84.7349897,43.608048
"212",-84.7349897,43.608048
"213",-83.6596596,41.9572676
"214",-83.0400957,42.5427916
"215",-84.3538359,41.8550479
"216",-96.6418315,33.2181719
"217",-86.3611248,41.8272684
"218",-83.6511088,42.4663367
"219",-83.1457252,42.4859218
"220",-87.6072989,46.4474551
"221",-75.7057346,36.0646102
"222",-85.5443816,43.1352383
"223",-83.1499322,42.6583661
"224",-88.1318184,43.2195862
"225",-82.4249142,42.9708634
"226",-85.657415,42.9131538
"227",-83.0457538,42.331427
"228",-83.3677168,42.4989936
"229",-83.243155,42.6698861
"230",-83.256455,42.4802539
"231",-86.0846615,42.7508095
"232",-82.9936386,43.7946812
"233",-82.5300707,43.2391623
"234",-96.6418315,33.2181719
"235",-83.0452315,42.3300341
"236",-83.115359,42.6241161
"237",-84.0619086,41.5631037
"238",-85.5617605,42.8384513
"239",-83.2608103,42.7157807
"240",-83.2646624,42.8247524
"241",-83.7180041,42.9466282
"242",-83.0066933,42.393542
"243",-83.0606045,42.3907456
"244",-83.3099303,42.2942045
"245",-83.441632,42.5170069
"246",-83.2218731,42.4733688
"247",-83.2218731,42.4733688
"248",-83.443504,42.357968
"249",-83.3769259,42.4274591
"250",-83.2444676,42.2674686
"251",-84.987012,42.272562
"252",-85.6130809,43.0402699
"253",-86.4362097,42.0979648
"254",-84.987012,42.272562
"255",-84.987012,42.272562
"256",-84.987012,42.272562
"257",-85.6489035,42.4400357
"258",-84.987012,42.272562
"259",-84.987012,42.272562
"260",-84.987012,42.272562
"261",-84.987012,42.272562
"262",-83.911589,43.622721
"263",-87.3953713,46.5436199
"264",-83.7264926,42.9954061
"265",-88.5694182,47.1211331
"266",-87.6142737,45.1077627
"267",-96.125883,41.223063
"268",-97.0192495,32.9356701
"269",-86.1250896,42.7558244
"270",-85.5100498,43.8750174
"271",-85.3419609,42.9336426
"272",-83.482116,42.3086444
"273",-82.7352104,43.5266861
"274",-82.6563789,43.8512533
"275",-96.6418315,33.2181719
"276",-83.1267915,42.5490905
"277",-83.2577427,42.7054654
"278",-84.5555347,42.732535
"279",-96.6418315,33.2181719
"280",-84.7530304,42.243097
"281",-85.340932,42.945562
"282",-83.1808001,42.2014113
"283",-83.3677168,42.4989936
"284",-83.3527097,42.36837
"285",-83.4233489,42.4315105
"286",-82.4655747,42.9676358
"287",NA,NA
"288",-83.0457538,42.331427
"289",-83.1599349,42.552288
"290",NA,NA
"291",-83.2910468,42.6389216
"292",-82.883912,42.5541539
"293",-83.0466896,42.3295101
"294",-83.2110375,42.2575385
"295",-83.3188341,43.0514161
"296",-82.9258393,42.554469
"297",-83.213527,42.47325
"298",-83.1272658,42.5731887
"299",-83.387673,42.2761199
"300",-83.3328621,42.5139897
"301",-83.1052028,42.4858692
"302",-83.0457538,42.331427
"303",-83.2474497,42.4809798
"304",-83.7711841,42.9652004
"305",-83.2474497,42.4809798
"306",-83.1763145,42.3222599
"307",-86.2483921,43.2341813
"308",-96.6418315,33.2181719
"309",-84.6305101,41.9200472
"310",-85.6680863,42.9633599
"311",-84.1227598,43.5250265
"312",NA,NA
"313",-83.2661884,42.3775437
"314",-83.20966,42.1997
"315",-83.780443,42.253634
"316",-84.4274744,42.722257
"317",-85.5708849,42.85856
"318",-82.9169498,42.3895628
"319",-83.204212,42.5424019
"320",-83.1499322,42.6583661
"321",-83.405886,42.371437
"322",-83.3175202,42.2107621
"323",-82.8343467,42.6109148
"324",-95.8811726,36.0165786
"325",-82.7688134,42.8964179
"326",-83.3527097,42.36837
"327",-83.0457538,42.331427
"328",-83.6874562,43.0125274
"329",-83.0457538,42.331427
"330",-85.6680863,42.9633599
"331",-85.5800022,42.2011538
"332",-85.0005215,41.9403263
"333",-83.3076463,43.0901859
"334",-85.5702264,42.895032
"335",-83.0266691,42.5157104
"336",-83.3273424,42.2418388
"337",-95.712891,37.09024
"338",-83.175071,42.148554
"339",-83.2696509,42.240872
"340",-85.6430603,42.8851222
"341",-83.6829587,42.997985
"342",-83.6842878,42.9966966
"343",-85.1906438,42.2606215
"344",-85.6725368,42.2463925
"345",-84.407459,42.275596
"346",-83.0549534,42.3312352
"347",88.3638954,22.5723287
"348",-86.6678023,41.8492087
"349",-87.0850665,45.7668176
"350",-83.7430378,42.2808256
"351",-83.0457538,42.331427
