"asciiname","pop2019","location"
"Parma Heights",19796,"https://www.google.com/maps/?q=41.383386,-81.761273"
"Norwood",19759,"https://www.google.com/maps/?q=39.160487,-84.453468"
"Painesville",19445,"https://www.google.com/maps/?q=41.721635,-81.258357"
"Springboro",19193,"https://www.google.com/maps/?q=39.562227,-84.233602"
"Broadview Heights",19140,"https://www.google.com/maps/?q=41.318156,-81.679262"
"Sylvania",19011,"https://www.google.com/maps/?q=41.710681,-83.706462"
"Twinsburg",18898,"https://www.google.com/maps/?q=41.322594,-81.443123"
"Whitehall",18874,"https://www.google.com/maps/?q=39.968968,-82.883948"
"Berea",18847,"https://www.google.com/maps/?q=41.370548,-81.861757"
"Forest Park",18653,"https://www.google.com/maps/?q=39.28602,-84.525694"
"Mayfield Heights",18443,"https://www.google.com/maps/?q=41.517312,-81.453889"
"Brook Park",18376,"https://www.google.com/maps/?q=41.404309,-81.820342"
"Ashtabula",18032,"https://www.google.com/maps/?q=41.87947,-80.798494"
"Niles",17924,"https://www.google.com/maps/?q=41.187807,-80.753101"
"Eastlake",17720,"https://www.google.com/maps/?q=41.655807,-81.433829"
"Steubenville",17514,"https://www.google.com/maps/?q=40.36632,-80.657069"
"New Philadelphia",17435,"https://www.google.com/maps/?q=40.486484,-81.440151"
"Tallmadge",17411,"https://www.google.com/maps/?q=41.106119,-81.424834"
"Tiffin",17209,"https://www.google.com/maps/?q=41.116571,-83.180977"
"North Canton",17188,"https://www.google.com/maps/?q=40.874249,-81.397084"
"Norwalk",16952,"https://www.google.com/maps/?q=41.244573,-82.60895"
"East Cleveland",16884,"https://www.google.com/maps/?q=41.530657,-81.578516"
"Fremont",16438,"https://www.google.com/maps/?q=41.353019,-83.11559"
"Defiance",16385,"https://www.google.com/maps/?q=41.28099,-84.365835"
"Mount Vernon",16341,"https://www.google.com/maps/?q=40.386191,-82.484004"
"Streetsboro",16221,"https://www.google.com/maps/?q=41.239608,-81.345862"
"Fairview Park",16140,"https://www.google.com/maps/?q=41.441975,-81.852974"
"Aurora",16047,"https://www.google.com/maps/?q=41.301543,-81.332508"
"Pataskala",15860,"https://www.google.com/maps/?q=40.019481,-82.71849"
"Middleburg Heights",15374,"https://www.google.com/maps/?q=41.369937,-81.813537"
"Bay Village",15139,"https://www.google.com/maps/?q=41.487794,-81.931435"
"Vandalia",14962,"https://www.google.com/maps/?q=39.878977,-84.192224"
"Worthington",14645,"https://www.google.com/maps/?q=40.096813,-83.020174"
"Washington Court House",14285,"https://www.google.com/maps/?q=39.53886,-83.427938"
"Circleville",14070,"https://www.google.com/maps/?q=39.601152,-82.932515"
"New Franklin",14035,"https://www.google.com/maps/?q=40.954288,-81.584869"
