city,pop2019,num_affected,prop_affected,layoff,geometry
lorain,63916,1252,0.019588209525001565,1,"c(-82.179722, 41.438805)"
louisville,9356,58,0.006199230440359128,1,"c(-81.264274, 40.837036)"
loveland,13158,142,0.010791913664690683,1,"c(-84.274553, 39.267517)"
lyndhurst,13377,NA,NA,0,"c(-81.494818, 41.516931)"
macedonia,12541,NA,NA,0,"c(-81.501633, 41.314919)"
madeira,9262,NA,NA,0,"c(-84.373106, 39.185105)"
mansfield,46117,334,0.007242448554762886,1,"c(-82.53082, 40.76672)"
maple heights,22067,107,0.0048488693524267,1,"c(-81.562861, 41.409047)"
marietta,12966,NA,NA,0,"c(-81.446426, 39.423166)"
marion,36325,254,0.0069924294562973156,1,"c(-83.122972, 40.593304)"
marysville,25131,93,0.0037006088098364568,1,"c(-83.35936, 40.227986)"
mason,34177,162,0.004740029844632355,1,"c(-84.302041, 39.351707)"
massillon,32225,808,0.025073700543056632,1,"c(-81.525216, 40.784483)"
maumee,13691,396,0.02892411072967643,1,"c(-83.666159, 41.571113)"
mayfield heights,18443,41,0.0022230656617686926,1,"c(-81.453889, 41.517312)"
medina,25949,108,0.004162010096728197,1,"c(-81.869513, 41.134636)"
mentor,46246,112,0.0024218310772823595,1,"c(-81.33588, 41.690159)"
miamisburg,19830,371,0.018709026727181038,1,"c(-84.270742, 39.630938)"
middleburg heights,15374,63,0.004097827500975673,1,"c(-81.813537, 41.369937)"
middletown,49206,159,0.003231313254481161,1,"c(-84.364893, 39.502952)"
monroe,13803,NA,NA,0,"c(-84.370332, 39.446096)"
montgomery,10804,NA,NA,0,"c(-84.347994, 39.251232)"
mount vernon,16341,191,0.011688391163331497,1,"c(-82.484004, 40.386191)"
napoleon,8238,54,0.0065549890750182084,1,"c(-84.124984, 41.397969)"
new albany,11737,246,0.020959359291130613,1,"c(-82.787767, 40.080345)"
new franklin,14035,NA,NA,0,"c(-81.584869, 40.954288)"
new philadelphia,17435,NA,NA,0,"c(-81.440151, 40.486484)"
newark,50310,48,9.540846750149076e-4,1,"c(-82.424925, 40.069732)"
niles,17924,NA,NA,0,"c(-80.753101, 41.187807)"
north canton,17188,82,0.004770770304863859,1,"c(-81.397084, 40.874249)"
north college hill,9292,NA,NA,0,"c(-84.55199, 39.217148)"
north olmsted,31322,57,0.0018198071642934678,1,"c(-81.919039, 41.414984)"
north ridgeville,34477,NA,NA,0,"c(-82.024711, 41.386)"
north royalton,30118,NA,NA,0,"c(-81.74518, 41.313701)"
norton,11939,NA,NA,0,"c(-81.645535, 41.028931)"
norwalk,16952,NA,NA,0,"c(-82.60895, 41.244573)"
norwood,19759,NA,NA,0,"c(-84.453468, 39.160487)"
oakwood,8897,NA,NA,0,"c(-84.173325, 39.720216)"
oberlin,8259,NA,NA,0,"c(-82.218757, 41.286106)"
olmsted falls,8914,NA,NA,0,"c(-81.904272, 41.365665)"
oregon,19890,NA,NA,0,"c(-83.438325, 41.655956)"
orrville,8571,267,0.031151557577878894,1,"c(-81.776881, 40.848264)"
oxford,23139,NA,NA,0,"c(-84.743978, 39.50524)"
painesville,19445,58,0.002982771920802263,1,"c(-81.258357, 41.721635)"
parma,78054,NA,NA,0,"c(-81.728641, 41.383569)"
parma heights,19796,NA,NA,0,"c(-81.761273, 41.383386)"
pataskala,15860,NA,NA,0,"c(-82.71849, 40.019481)"
perrysburg,21898,734,0.0335190428349621,1,"c(-83.644132, 41.538986)"
pickerington,21080,NA,NA,0,"c(-82.772344, 39.892983)"
piqua,21167,14,6.614069069778429e-4,1,"c(-84.243147, 40.150197)"
portsmouth,20407,NA,NA,0,"c(-82.952373, 38.752795)"
powell,13332,1,7.500750075007501e-5,1,"c(-83.081555, 40.167687)"
ravenna,11317,NA,NA,0,"c(-81.242033, 41.161454)"
reading,10290,NA,NA,0,"c(-84.433255, 39.224101)"
reynoldsburg,38223,NA,NA,0,"c(-82.795202, 39.958786)"
richmond heights,10298,215,0.020877840357350942,1,"c(-81.5077, 41.560646)"
riverside,24951,NA,NA,0,"c(-84.123915, 39.78265)"
rocky river,19976,NA,NA,0,"c(-81.853825, 41.473072)"
salem,11737,115,0.009798074465365937,1,"c(-80.848937, 40.904596)"
sandusky,24484,593,0.024219898709361216,1,"c(-82.71441, 41.455887)"
seven hills,11574,235,0.020304129946431656,1,"c(-81.675809, 41.380995)"
shaker heights,26911,NA,NA,0,"c(-81.549197, 41.47609)"
sharonville,13740,248,0.018049490538573507,1,"c(-84.407456, 39.280686)"
sheffield lake,8932,NA,NA,0,"c(-82.097651, 41.488388)"
shelby,8922,NA,NA,0,"c(-82.658308, 40.885138)"
sidney,20060,130,0.006480558325024925,1,"c(-84.166729, 40.289527)"
solon,22931,495,0.021586498626313722,1,"c(-81.440835, 41.38599)"
south euclid,21295,NA,NA,0,"c(-81.524491, 41.523936)"
springboro,19193,156,0.008127963319960402,1,"c(-84.233602, 39.562227)"
springdale,11271,89,0.007896371218170526,1,"c(-84.47579, 39.290599)"
springfield,57494,465,0.008087800466135596,1,"c(-83.797365, 39.928825)"
st. marys,8140,NA,NA,0,"c(-84.392957, 40.547558)"
steubenville,17514,148,0.008450382551101976,1,"c(-80.657069, 40.36632)"
stow,34534,277,0.008021080674118261,1,"c(-81.436523, 41.176261)"
streetsboro,16221,200,0.012329696072991801,1,"c(-81.345862, 41.239608)"
strongsville,44628,56,0.0012548176032983777,1,"c(-81.83169, 41.312955)"
struthers,10020,NA,NA,0,"c(-80.592724, 41.051218)"
sylvania,19011,NA,NA,0,"c(-83.706462, 41.710681)"
tallmadge,17411,NA,NA,0,"c(-81.424834, 41.106119)"
tiffin,17209,NA,NA,0,"c(-83.180977, 41.116571)"
tipp city,10065,NA,NA,0,"c(-84.18638, 39.964474)"
toledo,275004,6006,0.021839682331893356,1,"c(-83.581861, 41.664071)"
trenton,13212,NA,NA,0,"c(-84.462008, 39.479073)"
trotwood,24349,NA,NA,0,"c(-84.321836, 39.791861)"
troy,26130,NA,NA,0,"c(-84.21953, 40.043891)"
twinsburg,18898,NA,NA,0,"c(-81.443123, 41.322594)"
university heights,12919,NA,NA,0,"c(-81.534821, 41.494805)"
upper arlington,35297,NA,NA,0,"c(-83.070722, 40.027587)"
urbana,11047,NA,NA,0,"c(-83.754771, 40.108777)"
van wert,10524,NA,NA,0,"c(-84.588069, 40.865888)"
vandalia,14962,59,0.003943323085149044,1,"c(-84.192224, 39.878977)"
vermilion,10376,NA,NA,0,"c(-82.317254, 41.408005)"
wadsworth,24180,NA,NA,0,"c(-81.732205, 41.027436)"
wapakoneta,9819,NA,NA,0,"c(-84.191689, 40.567551)"
warren,38932,5062,0.13002157608137266,1,"c(-80.816725, 41.238256)"
warrensville heights,13257,139,0.010485026778305801,1,"c(-81.521749, 41.439278)"
washington court house,14285,NA,NA,0,"c(-83.427938, 39.53886)"
west carrollton,12845,NA,NA,0,"c(-84.25549, 39.669742)"
westerville,40335,334,0.00828064955993554,1,"c(-82.913324, 40.123435)"
westlake,31951,138,0.004319113642765484,1,"c(-81.930162, 41.449531)"
whitehall,18874,9,4.768464554413479e-4,1,"c(-82.883948, 39.968968)"
wickliffe,12599,NA,NA,0,"c(-81.468028, 41.606322)"
willoughby,23306,NA,NA,0,"c(-81.414353, 41.645285)"
willoughby hills,9461,NA,NA,0,"c(-81.432976, 41.584171)"
willowick,13904,NA,NA,0,"c(-81.467907, 41.634298)"
wilmington,12338,434,0.035175879396984924,1,"c(-83.817928, 39.439508)"
wooster,27431,54,0.001968575699026649,1,"c(-81.933061, 40.816206)"
worthington,14645,NA,NA,0,"c(-83.020174, 40.096813)"
wyoming,8586,NA,NA,0,"c(-84.481373, 39.22953)"
xenia,26532,NA,NA,0,"c(-83.940808, 39.683133)"
youngstown,63109,1594,0.02525788714763346,1,"c(-80.645902, 41.099095)"
zanesville,25192,171,0.006787869164814227,1,"c(-82.011954, 39.957027)"
